neighbourhood_cleansed,price
I Centro Storico,90
II Parioli/Nomentano,63
I Centro Storico,70
I Centro Storico,68
I Centro Storico,90
I Centro Storico,140
I Centro Storico,55
I Centro Storico,34
I Centro Storico,89
V Prenestino/Centocelle,70
I Centro Storico,95
I Centro Storico,79
XIV Monte Mario,73
I Centro Storico,68
I Centro Storico,72
II Parioli/Nomentano,40
IV Tiburtina,106
I Centro Storico,65
II Parioli/Nomentano,94
II Parioli/Nomentano,90
XV Cassia/Flaminia,95
I Centro Storico,120
VIII Appia Antica,60
XII Monte Verde,82
VIII Appia Antica,60
V Prenestino/Centocelle,53
XII Monte Verde,45
I Centro Storico,95
I Centro Storico,110
V Prenestino/Centocelle,42
II Parioli/Nomentano,80
I Centro Storico,135
I Centro Storico,69
I Centro Storico,70
I Centro Storico,100
VII San Giovanni/CinecittĂ ,48
XIII Aurelia,130
I Centro Storico,77
I Centro Storico,120
I Centro Storico,122
I Centro Storico,80
I Centro Storico,79
XII Monte Verde,40
I Centro Storico,98
II Parioli/Nomentano,114
VII San Giovanni/CinecittĂ ,49
XII Monte Verde,70
I Centro Storico,76
I Centro Storico,76
I Centro Storico,80
VII San Giovanni/CinecittĂ ,90
I Centro Storico,83
I Centro Storico,70
I Centro Storico,98
XIV Monte Mario,45
I Centro Storico,139
I Centro Storico,100
I Centro Storico,95
I Centro Storico,65
I Centro Storico,68
VII San Giovanni/CinecittĂ ,45
VII San Giovanni/CinecittĂ ,25
XII Monte Verde,20
XIII Aurelia,80
XIII Aurelia,75
I Centro Storico,70
XI Arvalia/Portuense,65
II Parioli/Nomentano,38
VII San Giovanni/CinecittĂ ,100
I Centro Storico,79
I Centro Storico,50
V Prenestino/Centocelle,32
I Centro Storico,107
I Centro Storico,49
VII San Giovanni/CinecittĂ ,50
I Centro Storico,58
I Centro Storico,160
VI Roma delle Torri,59
I Centro Storico,80
I Centro Storico,34
VIII Appia Antica,80
XII Monte Verde,80
V Prenestino/Centocelle,70
I Centro Storico,65
VII San Giovanni/CinecittĂ ,49
I Centro Storico,30
I Centro Storico,89
II Parioli/Nomentano,85
IV Tiburtina,50
II Parioli/Nomentano,44
I Centro Storico,122
I Centro Storico,83
I Centro Storico,140
I Centro Storico,65
XII Monte Verde,65
VIII Appia Antica,59
I Centro Storico,110
I Centro Storico,105
I Centro Storico,85
I Centro Storico,48
I Centro Storico,53
V Prenestino/Centocelle,36
I Centro Storico,70
I Centro Storico,63
I Centro Storico,63
XII Monte Verde,80
I Centro Storico,69
I Centro Storico,64
XII Monte Verde,90
XII Monte Verde,65
XIV Monte Mario,65
I Centro Storico,84
I Centro Storico,50
I Centro Storico,78
I Centro Storico,101
VII San Giovanni/CinecittĂ ,46
I Centro Storico,181
I Centro Storico,75
II Parioli/Nomentano,33
I Centro Storico,69
I Centro Storico,70
I Centro Storico,80
I Centro Storico,80
I Centro Storico,100
I Centro Storico,55
I Centro Storico,55
XV Cassia/Flaminia,80
VI Roma delle Torri,79
I Centro Storico,75
I Centro Storico,70
I Centro Storico,233
I Centro Storico,90
I Centro Storico,50
II Parioli/Nomentano,25
I Centro Storico,92
X Ostia/Acilia,36
I Centro Storico,145
VII San Giovanni/CinecittĂ ,30
I Centro Storico,120
I Centro Storico,75
VII San Giovanni/CinecittĂ ,130
VII San Giovanni/CinecittĂ ,40
XII Monte Verde,51
I Centro Storico,45
I Centro Storico,107
VII San Giovanni/CinecittĂ ,45
X Ostia/Acilia,60
X Ostia/Acilia,70
XIV Monte Mario,45
XIV Monte Mario,50
XIII Aurelia,40
XIII Aurelia,60
I Centro Storico,109
VII San Giovanni/CinecittĂ ,20
I Centro Storico,71
I Centro Storico,75
I Centro Storico,308
I Centro Storico,60
I Centro Storico,130
I Centro Storico,200
I Centro Storico,100
I Centro Storico,150
I Centro Storico,160
I Centro Storico,160
XIV Monte Mario,58
XIV Monte Mario,58
V Prenestino/Centocelle,55
I Centro Storico,49
I Centro Storico,65
I Centro Storico,49
VIII Appia Antica,19
X Ostia/Acilia,74
II Parioli/Nomentano,36
II Parioli/Nomentano,34
III Monte Sacro,66
VII San Giovanni/CinecittĂ ,40
I Centro Storico,120
XIII Aurelia,139
VII San Giovanni/CinecittĂ ,50
VIII Appia Antica,75
III Monte Sacro,70
XII Monte Verde,79
I Centro Storico,146
XII Monte Verde,95
IX Eur,56
I Centro Storico,109
I Centro Storico,70
VII San Giovanni/CinecittĂ ,60
XIII Aurelia,80
XV Cassia/Flaminia,80
I Centro Storico,71
I Centro Storico,50
II Parioli/Nomentano,30
I Centro Storico,69
I Centro Storico,149
VII San Giovanni/CinecittĂ ,49
II Parioli/Nomentano,30
VII San Giovanni/CinecittĂ ,39
I Centro Storico,78
VII San Giovanni/CinecittĂ ,180
I Centro Storico,100
XII Monte Verde,55
II Parioli/Nomentano,90
XIV Monte Mario,65
I Centro Storico,68
I Centro Storico,150
VII San Giovanni/CinecittĂ ,27
I Centro Storico,190
I Centro Storico,140
I Centro Storico,159
I Centro Storico,140
XII Monte Verde,55
I Centro Storico,79
I Centro Storico,100
I Centro Storico,115
I Centro Storico,220
I Centro Storico,120
I Centro Storico,130
XIII Aurelia,64
I Centro Storico,75
XII Monte Verde,67
I Centro Storico,110
I Centro Storico,88
